year,ave_daily_traffic_volume_entering_city
2004,246000
2005,244000
2006,270400
2007,278300
2008,278100
2009,278400
2010,293300
2011,300000
2012,292000
2013,289000
2014,300400
2015,297500
2016,298400
2017,304000
2018,302500
2019,303900
2020,238300
2021,265387
2022,282899
2023,293218
